id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
17609889,Modern Downtown Loft,1393795,Criselda,,78701,30.2668,-97.74002,Entire home/apt,950,2,1,2017-10-22,0.03,1,0
17611669,Perfect place to stay if you're in town for SXSW,119723002,Tom,,78705,30.2864,-97.74894,Entire home/apt,60,1,3,2017-03-18,0.08,1,0
17621368,"Hill Country Hacienda-Epic view, 12 acres, Privacy",119806323,Elizabeth,,78736,30.23575,-98.00441,Entire home/apt,299,1,45,2020-03-11,1.22,1,133
17622724,SXSW 2BR 1 King Bed 1 Queen 6 Minutes to Downtown!,15494878,Jeff,,78704,30.23107,-97.78028,Entire home/apt,240,3,0,,,1,0
17624763,Bright 2 Bedroom house in heart of East Austin,7174891,Cydney,,78702,30.26429,-97.71175,Entire home/apt,120,3,4,2017-10-23,0.13,1,0
17625053,2 Bedroom West Campus Apartment,119785427,Delaney,,78705,30.29387,-97.74614,Entire home/apt,400,1,1,2017-05-07,0.03,1,0
17625142,Greenbelt getaway,56471616,Jay,,78754,30.3312,-97.64885,Private room,75,2,0,,,1,0
17625703,Downtown 1 BR Apt by Zilkr Park,30285462,Lucas,,78704,30.25783,-97.75936,Entire home/apt,399,2,0,,,1,0
17626075,Last second SXSW! -- Modern 1BR Apt beside E. 6th,13492779,Nathan,,78702,30.26004,-97.72572,Entire home/apt,375,3,0,,,1,0
17626279,The Terrace - Downtown Austin,119862157,Leslie,,78746,30.25307,-97.79965,Entire home/apt,400,1,0,,,1,0
17626492,Cute House in Windsor Park,119864743,Bri,,78723,30.307,-97.68994,Private room,75,1,1,2017-03-13,0.03,1,0
17632571,Explore Austin downtown sites and parks from here!,95139463,Felicity,,78705,30.28425,-97.74849,Entire home/apt,99,2,129,2020-03-15,3.34,9,161
17632765,Great room for SXSW professional,11346478,Ed,,78705,30.29481,-97.72582,Private room,325,2,0,,,1,90
17634330,"The Scandinavian, an artist's retreat for you",1908590,Nils,,78751,30.30876,-97.71949,Entire home/apt,88,1,3,2017-04-30,0.08,1,0
17634857,Good Vibe Sanctuary in central Austin,119936515,Naz,,78757,30.35856,-97.72385,Entire home/apt,200,2,0,,,1,364
17635725,Perfect for Travel Professionals!,31377739,Wendy,,78705,30.29195,-97.72533,Entire home/apt,80,30,0,,,3,365
17636413,"Secret Garden Hideaway, close to downtown and UT",82183840,Lauren,,78751,30.30859,-97.72562,Entire home/apt,69,2,209,2020-04-19,5.41,2,157
17641963,(SXSW) West Campus Apt. Close to UT & Downtown,114929180,BriShon,,78705,30.28751,-97.74436,Entire home/apt,120,1,6,2017-06-22,0.16,1,0
17642403,"Private, Fenced Garden Cottage at UT and Downtown",116901138,Deirdre,,78731,30.31071,-97.75317,Entire home/apt,63,30,9,2019-11-08,0.26,3,365
17642440,Apartment in East Austin,51515659,Hermés,,78702,30.26882,-97.72705,Entire home/apt,300,2,0,,,1,0
17648807,Bouldin oasis minutes from downtown.,7281438,Lawrence,,78704,30.25981,-97.75373,Entire home/apt,116,30,8,2019-12-20,0.26,2,146
17650728,Relax in a Beautiful Room near the River in Holly,17088289,Amina,,78702,30.25008,-97.72341,Private room,56,1,133,2020-03-12,3.44,4,299
17651051,Explore East Austin from a Comfortable Apartment,39542151,Kelly,,78702,30.27476,-97.71577,Entire home/apt,175,2,119,2020-03-01,3.08,1,42
17652332,Chic & Modern Tarrytown Flat-102 Remodeled!,22336907,Kit,,78703,30.29027,-97.77261,Entire home/apt,100,30,28,2019-10-11,0.72,3,228
17652988,Modern retreat,120117005,Taylor,,78705,30.2913,-97.72271,Entire home/apt,600,5,0,,,1,89
17657426,Private entrance/shared bath in ATX's Coolest Hood,40911703,Michele,,78751,30.31386,-97.71294,Private room,49,1,64,2020-02-24,1.65,4,162
17657432,Central Austin Apartment,22957366,Karishma,,78704,30.25945,-97.76095,Entire home/apt,260,2,8,2019-04-11,0.30,1,0
17662778,Cozy 2 bedroom with deck,34436286,Wynnston,,78753,30.38616,-97.68004,Entire home/apt,175,1,0,,,1,0
17664041,Beautiful 2bdrm Cozy Modern House perfect for SX!,120227507,Lara,,78745,30.19688,-97.81725,Entire home/apt,350,3,0,,,1,0
17665129,King Bed -> Downtown Austin & Texas Hill Country!,11764694,Clare,,78704,30.22908,-97.74653,Entire home/apt,90,30,5,2017-08-20,0.13,3,337
17665178,Private One Bedroom Suite nestled in Zilker Park,120238032,Gioia,,78746,30.27981,-97.78181,Private room,79,1,90,2020-03-01,2.35,1,89
17666590,Private Apartment in Hyde Park,120254218,David,,78751,30.30291,-97.72812,Entire home/apt,100,3,81,2019-11-24,2.60,1,88
17678915,One Bedroom & Private Bath in Quiet Neighborhood,4059162,Dawn,,78729,30.45858,-97.7844,Private room,30,3,37,2019-12-30,0.96,1,0
17682020,South Lamar Studio,699434,Reva,,78704,30.24013,-97.7869,Entire home/apt,145,2,0,,,1,0
17682782,10 min drive to downtown & SXSW :),120429930,Veronica,,78741,30.23492,-97.71082,Private room,200,1,0,,,1,365
17683608,"Mueller Modern Style Apt, 2 bedroom, SXSW",2008210,Brenda,,78723,30.29865,-97.7088,Entire home/apt,150,2,0,,,1,0
17684743,Room/House Prime SXSW Location,23031208,Will,,78723,30.28616,-97.70239,Private room,70,1,3,2017-04-23,0.08,1,0
17685620,SW Condo - 1B/1B,60538290,J. James,,78749,30.23003,-97.823,Entire home/apt,90,1,28,2020-03-02,0.88,1,365
17686242,Austin Haphazard near downtown & s congress,90336686,Omar,,78741,30.22307,-97.74438,Private room,39,2,181,2020-03-02,4.93,1,74
17688918,Appart 10 min from SXSW + free park,117136508,Abraham,,78741,30.23148,-97.73049,Private room,50,1,0,,,1,0
17693817,Cozy Space Minutes to Downtown!,120538183,Ainslie,,78741,30.24251,-97.72269,Entire home/apt,175,1,11,2017-10-08,0.28,1,0
17694499,Green camping next to lush nature preserve,5403432,Danielle,,78721,30.27763,-97.69826,Private room,60,1,0,,,1,0
17697393,Perfect Spot on the East Side,21383891,Carli,,78721,30.2806,-97.67877,Private room,65,2,0,,,1,0
17698854,Guadalupe: Shared Room in Central Austin Community,8167447,Martin,,78751,30.32197,-97.72521,Shared room,23,30,8,2020-01-31,0.21,79,349
17698918,Daytime Downtown Austin office / Loft Space,52891390,Beau,,78701,30.26536,-97.73862,Entire home/apt,1000,3,0,,,1,0
17699544,King-sized Bed/Private Bath in ATX's Coolest Hood,40911703,Michele,,78751,30.31318,-97.71259,Private room,70,1,20,2019-11-03,0.52,4,80
17699717,Comfy bed in ATX's Coolest Hood,40911703,Michele,,78751,30.31307,-97.71121,Shared room,33,1,65,2020-01-18,1.69,4,288
17699828,Cozy nook with single bed in Austin's Coolest Hood,40911703,Michele,,78751,30.31329,-97.71301,Shared room,35,1,57,2020-02-05,1.60,4,0
17700448,Cozy 1 Bedroom Apt in North Atx,120607096,April,,78759,30.41093,-97.74491,Entire home/apt,84,1,12,2017-12-15,0.31,1,0
17701228,"Charming 1950's duplex, easy trip to UT/downtown",359340,Dawn,,78757,30.33881,-97.72097,Private room,38,1,131,2019-06-11,3.47,1,0
17703564,Adorable Artist Studio,120644383,Rob,,78745,30.19198,-97.7757,Entire home/apt,250,4,0,,,1,0
17711593,The Texas Suite by Rainey Street,4929310,Ryan,,78701,30.265,-97.74102,Entire home/apt,179,1,64,2020-03-12,1.71,32,351
17712879,Modern Guesthouse in Hyde Park/North Loop,120726510,Kamil,,78751,30.31342,-97.71955,Entire home/apt,80,1,83,2020-03-15,2.36,1,0
17713148,private bedroom in chill house/urban farm,69790487,James,,78751,30.30272,-97.71805,Private room,50,3,0,,,2,0
17713996,"Agua Dulce Ranch, Casita #2",7859118,Kristen & Corey,,78744,30.17074,-97.76817,Entire home/apt,150,14,101,2019-10-27,2.68,3,0
17714788,Lovely Three Bedroom on Half Acre with Creek,7345137,Cassie,,78723,30.31191,-97.67062,Entire home/apt,99,1,38,2020-02-28,1.41,2,0
17720511,★Private/Comfortable room East ATX!,102656401,Nallely,,78724,30.27929,-97.62742,Private room,75,1,58,2020-03-08,1.55,1,359
17721220,"master bedroom, private bath, in chill house",69790487,James,,78751,30.30205,-97.71618,Private room,60,1,0,,,2,0
17728741,Kayak-paddle board  downtown lake and springs!,95139463,Felicity,,78705,30.28425,-97.74849,Entire home/apt,89,1,149,2020-04-26,3.87,9,169
17732715,Amazing SoCo Apartment Walking Distance to it All!,119470168,Cody,,78704,30.25327,-97.74725,Entire home/apt,162,1,4,2017-07-16,0.11,1,0
17735800,Be our guest in hip E. Austin,8717325,Deborah,,78722,30.28794,-97.71961,Private room,165,1,1,2017-03-18,0.03,2,89
17736424,"Trendy, Modern Home in the Heart of East Austin",36730791,Stacy,,78702,30.25305,-97.71785,Entire home/apt,175,2,93,2020-03-09,2.45,1,179
17750233,Heart of South Austin Heaven,117615048,Lisa,,78704,30.25032,-97.75707,Entire home/apt,408,2,3,2018-10-21,0.11,2,12
17760144,Picture of Nectar - Walk to Zilker - 5 minutes to downtown!,118565935,Renters Club,,78704,30.25783,-97.76591,Entire home/apt,444,2,29,2019-10-15,0.79,72,362
17761474,Bedroom near central austin,55122,Mark,,78741,30.22644,-97.69395,Private room,75,1,1,2017-04-07,0.03,1,0
17777374,Best room in Hyde Park! You wouldn't believe it!,113999810,Robert,,78751,30.31685,-97.72255,Private room,60,1,5,2017-05-12,0.13,1,0
17777978,Total Charm in historic Hyde Park at UT & Downtown,116901138,Deirdre,,78751,30.30976,-97.72796,Entire home/apt,114,30,4,2019-01-31,0.15,3,331
